time,x,y,s,e_y,e_psi,v,delta,ref_x,ref_y
0.0,89629.94513177378,43130.863176297746,0.20833333318138442,-0.0,0.0,4.166666663627688,0.659012668845137,89630.0674883,43130.6945594
0.05,89629.84908521693,43130.96378596513,0.34617211591537156,1.555154009041937e-12,0.13446598673528953,2.7818875788039814,0.6596918438633196,89630.0674883,43130.6945594
0.1,89629.74441789936,43131.055344894994,0.4817486541012126,0.018647150643517702,0.2243686256127968,2.7812432475771534,0.6589646644445093,89630.0674883,43130.6945594
0.15000000000000002,89629.57594979787,43131.177906212535,0.6798882422054275,0.04958721042018785,0.3141155541265799,4.166666666666685,0.60159307309252,89630.0674883,43130.6945594
0.2,89629.4546053352,43131.24574429268,0.8060607233504317,0.1139570900446518,0.4332957731796445,2.780394485676689,-0.6597552032369727,89630.0674883,43130.6945594
0.25,89629.33980498469,43131.324221744864,0.9370008672581243,0.17232650619299417,0.3434296305204807,2.7812105981706825,-0.6600912696449159,89630.0674883,43130.6945594
0.3,89629.23256795565,43131.41265422186,1.0715561967249418,0.21915074875976226,0.25347471483449446,2.77993405548201,-0.6610034236238552,89629.94994084083,43130.85654902586
0.35,89629.11638584587,43131.52751329796,1.2327537350133357,0.2540068342324661,0.16339164777939352,3.2674693569212883,-0.5314221873285152,89629.94994084083,43130.85654902586
0.39999999999999997,89628.9845577745,43131.6805465712,1.4340370343200681,0.2805820792124656,0.08336192528367414,4.039694202418608,-0.3355047404869723,89629.94994084083,43130.85654902586
0.44999999999999996,89628.85807891095,43131.84609396801,1.6423071282164057,0.297400418685872,0.02467070223510115,4.166669821967803,-0.2240681781852139,89629.94994084083,43130.85654902586
0.49999999999999994,89628.73824731492,43132.016514525174,1.8506173530942382,0.30253963085669006,-0.014894422214330127,4.166666663622783,-0.10960039438994189,89629.94994084083,43130.85654902586
0.5499999999999999,89628.62169317117,43132.18919315526,2.058830289526567,0.29943674095495637,-0.033998825436323266,4.166666663622719,0.04800459470789337,89629.83239338164,43131.01853865172
0.6,89628.5037028653,43132.36089366613,2.2670950485875148,0.29235501682769627,-0.025658286613262415,4.166666663622637,0.07204786219638809,89629.83239338164,43131.01853865172
0.65,89628.38357047092,43132.531102319066,2.4754104286956773,0.28701012695890316,-0.0131282891554525,4.166666663622838,0.04993239385954901,89629.83239338164,43131.01853865172
0.7000000000000001,89628.26196588104,43132.70026230675,2.6837416970249857,0.28427514528915904,-0.004452259017907245,4.166666663622842,0.023933514474052914,89629.83239338164,43131.01853865172
0.7500000000000001,89628.13965932837,43132.868915456405,2.8920750210583908,0.2833475943808773,-0.0002963414874836978,4.166666663622848,0.007242840203137531,89629.83239338164,43131.01853865172
0.8000000000000002,89628.01714079794,43133.03741467722,3.1004078433714177,0.28339850041615283,0.002214573534516262,4.166666663622893,-0.009593022177268578,89629.71484592247,43131.18052827758
0.8500000000000002,89627.89490307381,43133.20611771963,3.308722843411196,0.2850816462780973,0.01326652699827724,4.166666663622917,-0.09657758439187003,89629.71484592247,43131.18052827758
0.9000000000000002,89627.77551996674,43133.37685275253,3.5170548618063435,0.28784542500070587,-0.0035527396577221815,4.166666663623348,-0.02130858333889091,89629.71484592247,43131.18052827758
0.9500000000000003,89627.65676938936,43133.54802832931,3.7253827156623847,0.28710527246681233,-0.007252706498681594,4.166666663622781,0.010840879012158348,89629.71484592247,43131.18052827758
1.0000000000000002,89627.53769684084,43133.71898009415,3.933713044407633,0.2855943051922537,-0.005370535714931179,4.166666663622719,0.015323662317694465,89629.71484592247,43131.18052827758
1.0500000000000003,89627.41816988579,43133.8896144539,4.142045612596078,0.2844754489597336,-0.002709969425721326,4.166666663622635,0.01043360808340526,89629.59729846328,43131.342517903446
1.1000000000000003,89627.29833403036,43134.060032015994,4.350378861680733,0.2839108726828096,-0.0008985134025016883,4.166666663622836,0.004926667521956757,89629.59729846328,43131.342517903446
1.1500000000000004,89627.17835245535,43134.23034701642,4.558712194667635,0.28372368242018764,-4.318226033905859e-05,4.16666666362284,0.0014497278868337577,89629.59729846328,43131.342517903446
1.2000000000000004,89627.05832801771,43134.400631813405,4.767045523320123,0.28371468611719336,0.00020850678504480413,4.166666663622847,-8.224453086038302e-05,89629.59729846328,43131.342517903446
1.2500000000000004,89626.9383060115,43134.57091832415,4.97537885257162,0.2837581250324043,0.00019422822063752676,4.166666663622865,-0.00046931242789899867,89629.59729846328,43131.342517903446
1.3000000000000005,89626.81829788028,43134.74121461347,5.183712184428532,0.28379858924698775,0.00011275036264946081,4.166666663622918,-0.0003879901744598947,89629.47975100411,43131.5045075293
1.3500000000000005,89626.69830122039,43134.911518986075,5.392045517395081,0.28382207890919403,4.5390954030555264e-05,4.166666663623348,-0.00021075578773272377,89629.47975100411,43131.5045075293
1.4000000000000006,89626.57831079193,43135.08182774919,5.600378850568151,0.28383153535843936,8.801407034297881e-06,4.166666663622781,-7.800874398190886e-05,89629.47975100411,43131.5045075293
1.4500000000000006,89626.45832267,43135.252138137344,5.808712183746945,0.2838333689889891,-4.7417567650143155e-06,4.166666663622719,-1.0479006105928235e-05,89629.47975100411,43131.5045075293
1.5000000000000007,89626.33833485792,43135.42244874379,6.017045440211344,0.28383273691632976,0.0008581845211876882,4.16666666362264,-0.005596417228412745,89629.36220354492,43131.666497155165
1.5500000000000007,89626.21851257801,43135.592875851224,6.225377268490569,0.28404253241837085,0.0038009309129840574,4.166666663622837,-0.0269794781983681,89629.36220354492,43131.666497155165
1.6000000000000008,89626.09949007382,43135.76386246242,6.433710520243699,0.284834391116261,-0.0008841430689807694,4.16666666362284,-0.005363013580189342,89629.36220354492,43131.666497155165
1.6500000000000008,89625.98062682472,43135.93495981988,6.642043510189236,0.28465019467175845,-0.0018152307622951724,4.1666666636228475,0.0027054240765567667,89629.36220354492,43131.666497155165
1.7000000000000008,89625.86168322554,43136.10600132925,6.850376654779545,0.2842720218036846,-0.001345537915940831,4.166666663622865,0.0038365688875357734,89629.36220354492,43131.666497155165
1.7500000000000009,89625.7426257264,43136.276963575416,7.058709939869986,0.2839917014932063,-0.0006794636013283117,4.166666663622917,0.0026145111611095887,89629.24465608575,43131.82848678103
1.800000000000001,89625.62349063819,43136.44787176268,7.267043267751693,0.2838501465834081,-0.00022555446014083103,4.166666663623346,0.0012354587682014105,89629.24465608575,43131.82848678103
1.850000000000001,89625.50431889472,43136.61875439278,7.475376600920079,0.28380315607648904,-1.1064960893314435e-05,4.166666663622781,0.0003640885033152951,89629.24465608575,43131.82848678103
1.900000000000001,89625.38513635001,43136.78962948972,7.683709933817977,0.2838008508729789,5.214485145677017e-05,4.166666663622719,-2.01488628177649e-05,89629.24465608575,43131.82848678103
1.950000000000001,89625.26595440305,43136.96050500357,7.892043266752597,0.283811714388072,4.8646784997607995e-05,4.166666663622635,-0.00011742126313404964,89629.24465608575,43131.82848678103
2.000000000000001,89625.14677593952,43137.13138294698,8.100376599850541,0.28382184913790054,2.826112816256554e-05,4.166666663622837,-9.719176252481014e-05,89629.12710862656,43131.990476406885
2.0500000000000007,89625.02760035932,43137.302262901336,8.308709933018175,0.283827736873021,1.1387579034405348e-05,4.16666666362284,-5.283411665484498e-05,89629.12710862656,43131.990476406885
