step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
299,89645,43110.2,-2.09117,-20.4382,-1.52641,78.7386,-1.396,5,0.187774
300,89644.7,43109.7,-0.675532,-20.9502,-0.111406,78.9073,1.396,5,0.187875
301,89645.1,43109.4,-2.09117,-21.2851,-1.54098,78.9124,-1.396,5,0.19011
302,89644.9,43109,-0.675532,-21.7931,-0.125756,79.077,1.396,5,0.190176
303,89645.3,43108.7,-2.09117,-22.1266,-1.555,79.0796,-1.396,5,0.192357
304,89645,43108.3,-0.675532,-22.6307,-0.139574,79.2405,1.396,5,0.192392
305,89645.4,43107.9,-2.09117,-22.9631,-1.5685,79.2409,-1.396,5,0.194522
306,89645.1,43107.5,-0.675532,-23.4637,-0.15289,79.398,1.396,5,0.194527
307,89645.5,43107.2,-2.09117,-23.795,-1.58151,79.3964,-1.396,5,0.196609
308,89645.3,43106.8,-0.675532,-24.2923,-0.165734,79.5501,1.396,5,0.196587
309,89645.7,43106.4,-2.09117,-24.6229,-1.59407,79.5465,-1.396,5,0.198623
310,89645.4,43106,-0.675532,-25.117,-0.178133,79.6969,1.396,5,0.198575
311,89645.8,43105.7,-2.09117,-25.4469,-1.6062,79.6915,-1.396,5,0.200567
312,89645.6,43105.3,-0.675532,-25.9381,-0.190112,79.8387,1.396,5,0.200496
313,89646,43105,-2.09117,-26.2675,-1.61791,79.8317,-1.396,5,0.202446
314,89645.7,43104.5,-0.675532,-26.7559,-0.201693,79.9759,1.396,5,0.202353
315,89646.1,43104.2,-2.09117,-27.215,-1.6342,79.9668,-1.396,5,0.206128
316,89645.9,43103.8,-0.675532,-27.6862,-0.217289,80.1052,1.396,5,0.205811
317,89646.2,43103.5,-2.09117,-28.2189,-1.65235,80.0941,-1.396,5,0.210648
318,89646,43103,-0.675532,-28.6839,-0.235152,80.2252,1.396,5,0.21026
319,89646.4,43102.7,-2.09117,-29.1975,-1.66919,80.2124,-1.396,5,0.214843
320,89646.1,43102.3,-0.675532,-29.6572,-0.25176,80.337,1.396,5,0.214397
321,89646.5,43102,-2.09117,-30.1544,-1.68488,80.3229,-1.396,5,0.218752
322,89646.3,43101.5,-0.675532,-30.6096,-0.26726,80.4416,1.396,5,0.218258
323,89646.7,43101.2,-2.09117,-31.0926,-1.69956,80.4263,-1.396,5,0.222408
324,89646.4,43100.8,-0.675532,-31.5442,-0.281774,80.5397,1.396,5,0.221874
325,89646.8,43100.5,-2.09117,-32.0148,-1.71333,80.5235,-1.396,5,0.225837
326,89646.6,43100,-0.675532,-32.4631,-0.295406,80.632,1.396,5,0.225269
327,89647,43099.7,-2.09117,-32.9228,-1.72628,80.615,-1.396,5,0.229063
328,89646.7,43099.3,-0.675532,-33.3684,-0.308245,80.719,1.396,5,0.228467
329,89647.1,43099,-2.09117,-33.8185,-1.73849,80.7013,-1.396,5,0.232106
330,89646.8,43098.5,-0.675532,-34.2616,-0.320366,80.8013,1.396,5,0.231487
331,89647.2,43098.2,-2.09117,-34.7033,-1.75004,80.7831,-1.396,5,0.234982
332,89647,43097.8,-0.675532,-35.1443,-0.331835,80.8793,1.396,5,0.234344
333,89647.4,43097.5,-1.12932,-35.5785,-0.799129,80.9484,-1.06725,5,0.237707
334,89647.6,43097,0.286318,-36.1295,0.606812,81.0279,1.396,5,0.240123
335,89648.1,43097.2,-1.12932,-36.0646,-0.819979,81.0931,-1.396,5,0.242901
336,89648.3,43096.7,0.286318,-36.6093,0.58651,81.1709,1.396,5,0.24518
337,89648.8,43096.9,-1.12932,-36.5453,-0.840045,81.2325,-1.396,5,0.247899
338,89649,43096.4,0.286318,-37.0847,0.566948,81.3087,1.396,5,0.250053
339,89649.5,43096.6,-1.12932,-37.022,-0.859381,81.367,-1.396,5,0.252716
340,89649.7,43096.1,0.286318,-37.557,0.548076,81.4416,1.396,5,0.254754
341,89650.2,43096.2,-1.12932,-37.4959,-0.878037,81.4969,-1.396,5,0.257363
342,89650.4,43095.8,0.286318,-38.0272,0.52985,81.57,1.396,5,0.259294
343,89650.8,43095.9,-1.12932,-37.9681,-0.896054,81.6224,-1.396,5,0.261851
344,89651.1,43095.5,0.286318,-38.4961,0.512231,81.6941,1.396,5,0.263683
345,89651.5,43095.6,-1.12932,-38.4392,-0.913472,81.7439,-1.396,5,0.26619
346,89651.8,43095.2,0.286318,-38.9646,0.495183,81.8142,1.396,5,0.26793
347,89652.2,43095.3,-1.12932,-38.9101,-0.930326,81.8615,-1.396,5,0.270388
348,89652.4,43094.9,0.286318,-39.4333,0.478674,81.9305,1.396,5,0.272042
349,89652.9,43095,-1.12932,-39.3814,-0.946648,81.9756,-1.396,5,0.274454
