step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
65,89614.3,43140,4.31426,7.55994,2.14007,15.3594,1.396,9.32157,0.00275941
66,89613.9,43139.1,1.60347,8.36662,-0.572014,16.1685,-1.396,9.57443,0.00228117
67,89613.9,43140,4.19984,7.87079,2.02642,15.7611,1.396,9.1703,0.00304552
68,89613.4,43139.2,1.54585,8.7131,-0.628606,16.5253,-1.396,9.3738,0.00266062
69,89613.4,43140.1,4.09176,8.18403,1.91925,16.2145,1.396,8.99207,0.0033826
70,89612.9,43139.4,1.50189,9.04453,-0.671406,16.9389,-1.396,9.14733,0.00308896
71,89613,43140.3,3.98931,8.49676,1.81786,16.7207,1.396,8.78549,0.00377332
72,89612.4,43139.6,1.47103,9.35998,-0.700973,17.411,-1.396,8.89449,0.00356716
73,89612.5,43140.4,3.89168,8.80641,1.72144,17.2802,1.396,8.54966,0.00421935
74,89611.8,43139.9,1.45253,9.65879,-0.718043,17.9423,-1.396,8.615,0.00409577
75,89611.9,43140.7,3.80192,9.11007,1.63306,17.8894,1.396,8.29796,0.0047452
76,89611.3,43140.2,1.44892,9.93957,-0.720099,18.5304,-1.396,8.31072,0.00467127
77,89611.4,43141,3.77564,9.39859,1.60874,18.4984,1.396,8.21791,0.00567615
78,89610.7,43140.5,1.44769,10.2202,-0.719317,19.1345,-1.396,8.22227,0.0056255
79,89610.8,43141.3,3.75112,9.68391,1.58624,19.1216,1.396,8.13567,0.00663252
80,89610.1,43140.8,1.44719,10.4976,-0.717741,19.7536,-1.396,8.13743,0.00661207
81,89610.2,43141.6,3.72676,9.96636,1.56394,19.7593,1.396,8.05139,0.00761259
82,89609.6,43141.2,1.44741,10.7714,-0.715399,20.3875,-1.396,8.05062,0.00762161
83,89609.7,43142,3.70255,10.2458,1.54183,20.4114,1.396,7.9651,0.00861611
84,89609,43141.6,1.44833,11.0415,-0.71231,21.0361,-1.396,7.96185,0.00865386
85,89609.1,43142.3,3.652,10.5299,1.4944,21.0979,1.396,7.78331,0.0102911
86,89608.4,43142,1.4618,11.3013,-0.6952,21.7185,-1.396,7.73575,0.0106604
87,89608.5,43142.7,3.51672,10.8362,1.36582,21.8749,1.396,7.25794,0.0143703
88,89607.8,43142.4,1.4959,11.5339,-0.65347,22.4798,-1.396,7.13749,0.0153055
89,89607.9,43143.1,3.38486,11.1225,1.24143,22.7132,1.396,6.67176,0.0189215
90,89607.3,43142.9,1.54678,11.733,-0.594355,23.3015,-1.396,6.49204,0.0203169
91,89607.3,43143.5,3.25663,11.3831,1.12127,23.5923,1.396,6.03912,0.0238335
92,89606.7,43143.5,1.61018,11.8991,-0.522327,24.1583,-1.396,5.81521,0.025572
93,89606.7,43144,3.17948,11.6108,1.05839,24.4731,1.396,5.54273,0.0312081
94,89606.1,43144,1.62813,12.0796,-0.483451,25.0564,-1.396,5.47932,0.035558
95,89606.1,43144.5,3.14622,11.8039,1.05225,25.3934,1.396,5.36182,0.0436175
96,89605.6,43144.5,1.64735,12.2401,-0.436438,26.0309,-1.396,5.29394,0.0482739
97,89605.5,43145,3.10986,11.9638,1.04532,26.3978,1.396,5.16552,0.0570824
98,89605,43145.1,1.66828,12.3607,-0.385174,27.107,-1.396,5.0916,0.0621528
99,89605,43145.6,3.08392,12.0738,1.06031,27.513,1.396,5,0.0735293
100,89604.5,43145.6,1.66828,12.4321,-0.329615,28.3994,-1.396,5,0.0816599
101,89604.4,43146.1,3.08392,12.0261,1.14216,28.882,1.396,5,0.0994069
102,89603.9,43146.1,1.66828,12.2963,-0.24292,30.2611,-1.396,5,0.10907
103,89603.9,43146.6,3.08392,11.4495,1.27475,30.9256,1.396,5,0.13635
104,89603.4,43146.6,1.66828,11.4007,-0.0757494,34.5911,-1.396,5,0.149136
105,89603.3,43147.1,3.08392,6.34925,1.73195,34.332,1.396,5,0.222013
106,89602.8,43147.2,1.66828,7.3314,0.286137,36.5633,-1.396,5,0.216686
107,89602.8,43147.7,0.252642,2.13538,-0.821593,37.0383,-1.396,5,0.263939
108,89603.3,43147.8,1.66828,0.191517,0.679575,37.4382,1.396,5,0.274566
109,89603.2,43148.3,0.252642,-0.858205,-0.664071,37.7867,-1.396,5,0.283512
110,89603.7,43148.4,1.66828,-2.37147,0.814319,38.036,1.396,5,0.291309
111,89603.6,43148.9,0.252642,-2.87477,-0.556425,38.3246,-1.396,5,0.296887
112,89604.1,43149,1.66828,-4.13796,0.911167,38.5044,1.396,5,0.303342
113,89604.1,43149.5,0.252642,-4.36394,-0.472099,38.7575,-1.396,5,0.307365
114,89604.6,43149.7,1.66828,-5.45462,0.989115,38.8963,1.396,5,0.313028
115,89604.5,43150.2,0.252642,-5.41736,-0.403175,39.1298,-1.396,5,0.313718
116,89605,43150.3,1.66828,-6.22802,1.05146,39.2476,1.396,5,0.314475
117,89605,43150.8,0.252642,-6.10251,-0.34451,39.4738,-1.396,5,0.314856
118,89605.4,43150.9,1.66828,-6.85227,1.10891,39.5749,1.396,5,0.315589
119,89605.4,43151.4,0.252642,-6.66289,-0.289854,39.796,-1.396,5,0.315916
120,89605.9,43151.5,1.66828,-7.35783,1.1627,39.883,1.396,5,0.316632
121,89605.8,43152,0.252642,-7.11507,-0.238408,40.1004,-1.396,5,0.316914
122,89606.3,43152.2,1.66828,-7.75975,1.21354,40.1752,1.396,5,0.317618
123,89606.3,43152.6,0.252642,-7.47161,-0.189607,40.3902,-1.396,5,0.31786
124,89606.7,43152.8,0.403243,-8.06968,-0.00311067,40.6005,0.542185,5,0.318556
125,89607.2,43153,-1.0124,-8.55092,-1.38363,40.6384,-1.396,5,0.319237
126,89607.5,43152.5,0.403243,-9.12861,0.0383479,40.8347,1.396,5,0.31936
127,89607.9,43152.7,-1.0124,-9.54105,-1.34452,40.8778,-1.396,5,0.319996
128,89608.2,43152.3,0.403243,-10.1224,0.07831,41.0623,1.396,5,0.320135
129,89608.7,43152.5,-1.0124,-10.4721,-1.30651,41.1098,-1.396,5,0.320733
130,89608.9,43152.1,0.403243,-11.0539,0.117065,41.2845,1.396,5,0.320887
131,89609.4,43152.3,-1.0124,-11.3455,-1.26941,41.336,-1.396,5,0.321452
132,89609.6,43151.9,0.403243,-11.9249,0.154835,41.5022,1.396,5,0.321619
133,89610.1,43152.1,-1.0124,-12.1621,-1.23306,41.5574,-1.396,5,0.322157
134,89610.4,43151.6,0.403243,-12.7365,0.191797,41.7161,1.396,5,0.322336
135,89610.8,43151.8,-1.0124,-12.9077,-1.19677,41.7747,-1.396,5,0.322698
136,89611.1,43151.4,0.403243,-13.4537,0.22948,41.9265,1.396,5,0.322672
137,89611.6,43151.6,-1.0124,-13.5338,-1.15872,41.9884,-1.396,5,0.322604
138,89611.8,43151.2,0.403243,-14.0682,0.268121,42.1334,1.396,5,0.322576
139,89612.3,43151.4,-1.0124,-14.1003,-1.1213,42.1984,-1.396,5,0.322511
140,89612.5,43151,0.403243,-14.6212,0.30609,42.3373,1.396,5,0.322482
141,89613,43151.1,-1.0124,-14.6075,-1.08444,42.4051,-1.396,5,0.32242
142,89613.3,43150.7,0.403243,-15.1128,0.343472,42.5384,1.396,5,0.322389
143,89613.7,43150.9,-1.0124,-15.0554,-1.04807,42.609,-1.396,5,0.322329
144,89614,43150.5,0.403243,-15.5433,0.380344,42.7372,1.396,5,0.322298
145,89614.5,43150.7,-1.0124,-15.4443,-1.01212,42.8105,-1.396,5,0.32224
146,89614.7,43150.3,0.403243,-15.9131,0.416776,42.934,1.396,5,0.322207
