step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
69,89618,43147.9,2.16546,-0.660854,-0.050763,20.9886,-0.00940892,3,0
70,89617.8,43148.1,2.16405,-0.676076,-0.0521744,21.2882,-0.00940892,3,0
71,89617.6,43148.4,2.16264,-0.691721,-0.0535857,21.5878,-0.00940892,3,0
72,89617.5,43148.6,2.16123,-0.707789,-0.0549971,21.8873,-0.00940892,3,0
73,89617.3,43148.9,2.15982,-0.72428,-0.0564085,22.1869,-0.00940892,3,0
74,89617.1,43149.1,2.1584,-0.741194,-0.0578199,22.4864,-0.00940892,3,0
75,89617,43149.4,2.15432,-0.75853,-0.0619074,22.7858,-0.0272435,3,0
76,89616.8,43149.6,2.15023,-0.777091,-0.065995,23.0851,-0.0272435,3,0
77,89616.6,43149.9,2.14614,-0.796875,-0.0700825,23.3844,-0.0272435,3,0
78,89616.5,43150.1,2.14205,-0.817882,-0.0741701,23.6836,-0.0272435,3,0
79,89616.3,43150.4,2.13797,-0.840113,-0.0782576,23.9826,-0.0272435,3,0
80,89616.2,43150.6,2.13388,-0.863566,-0.0823451,24.2816,-0.0272435,3,0
81,89616,43150.9,2.12979,-0.888242,-0.0864327,24.5805,-0.0272435,3,0
82,89615.8,43151.1,2.1257,-0.914139,-0.0905202,24.8793,-0.0272435,3,0
83,89615.7,43151.4,2.12162,-0.941258,-0.0946078,25.1779,-0.0272435,3,0
84,89615.5,43151.6,2.11753,-0.969598,-0.0986953,25.4765,-0.0272435,3,0
85,89615.4,43151.9,2.10724,-0.999159,-0.108986,25.7747,-0.0684943,3,0
86,89615.2,43152.1,2.09695,-1.03179,-0.119276,26.0726,-0.0684943,3,0
87,89615.1,43152.4,2.08666,-1.06749,-0.129566,26.3701,-0.0684943,3,0
88,89614.9,43152.7,2.07637,-1.10625,-0.139856,26.6671,-0.0684943,3,0
89,89614.8,43152.9,2.06608,-1.14807,-0.150146,26.9638,-0.0684943,3,0
90,89614.6,43153.2,2.05579,-1.19294,-0.160437,27.2599,-0.0684943,3,0
91,89614.5,43153.5,2.0455,-1.24087,-0.170727,27.5555,-0.0684943,3,0
92,89614.3,43153.7,2.03521,-1.29184,-0.181017,27.8506,-0.0684943,3,0
93,89614.2,43154,2.02492,-1.34585,-0.191307,28.1452,-0.0684943,3,0
94,89614.1,43154.3,2.01463,-1.40289,-0.201598,28.4391,-0.0684943,3,0
95,89613.9,43154.5,1.99525,-1.46296,-0.220976,28.7318,-0.128479,3,0
96,89613.8,43154.8,1.97587,-1.52872,-0.240355,29.0232,-0.128479,3,0
97,89613.7,43155.1,1.95649,-1.60013,-0.259734,29.3131,-0.128479,3,0
98,89613.6,43155.4,1.93711,-1.67718,-0.279112,29.6015,-0.128479,3,0
99,89613.5,43155.6,1.91773,-1.75983,-0.298491,29.8882,-0.128479,3,0
100,89613.4,43155.9,1.89835,-1.84805,-0.317869,30.1732,-0.128479,3,0
101,89613.3,43156.2,1.87898,-1.94181,-0.337248,30.4563,-0.128479,3,0
102,89613.2,43156.5,1.8596,-2.04108,-0.356627,30.7374,-0.128479,3,0
103,89613.1,43156.8,1.84022,-2.14582,-0.376005,31.0165,-0.128479,3,0
104,89613,43157.1,1.82084,-2.25598,-0.395384,31.2933,-0.128479,3,0
105,89613,43157.4,1.80146,-2.37153,-0.414763,31.5679,-0.128479,3,0
106,89612.9,43157.7,1.77321,-2.49242,-0.443016,31.8389,-0.186172,3,0
107,89612.8,43157.9,1.74496,-2.62102,-0.471269,32.1062,-0.186172,3,0
108,89612.8,43158.2,1.7167,-2.75722,-0.499522,32.3696,-0.186172,3,0
109,89612.7,43158.5,1.68845,-2.90093,-0.527775,32.6287,-0.186172,3,0
110,89612.7,43158.8,1.6602,-3.05201,-0.556028,32.8836,-0.186172,3,0
111,89612.7,43159.1,1.63194,-3.21035,-0.584281,33.1338,-0.186172,3,0
112,89612.7,43159.4,1.60369,-3.37583,-0.612533,33.3792,-0.186172,3,0
113,89612.6,43159.7,1.57544,-3.54832,-0.640786,33.6197,-0.186172,3,0
114,89612.6,43160,1.54719,-3.72766,-0.669039,33.8551,-0.186172,3,0
115,89612.6,43160.3,1.51893,-3.91373,-0.697292,34.085,-0.186172,3,0
116,89612.7,43160.6,1.49068,-4.10638,-0.725545,34.3095,-0.186172,3,0
117,89612.7,43160.9,1.46243,-4.30544,-0.753798,34.5282,-0.186172,3,0
118,89612.7,43161.2,1.42433,-4.51076,-0.791894,34.739,-0.248714,3,0
119,89612.8,43161.5,1.38623,-4.72427,-0.82999,34.9414,-0.248714,3,0
