default, 0.0    ,2.0    ,4.0    ,6.0    ,8.0    ,10.0
    0.0, -0.3   ,-0.3   ,-0.3   ,-0.3   ,-0.3   ,-0.3
    0.1, 0.0    ,0.0    ,0.0    ,0.0    ,0.0    ,0.0
    0.2, 0.005  ,0.005  ,0.005  ,0.005  ,0.005  ,0.005
    0.3, 0.03   ,0.03   ,0.03   ,0.03   ,0.03   ,0.03
    0.4, 0.07   ,0.07   ,0.07   ,0.07   ,0.07   ,0.07
    0.5, 0.13   ,0.13   ,0.13   ,0.13   ,0.13   ,0.13
    0.6, 0.19   ,0.19   ,0.19   ,0.19   ,0.19   ,0.19
    0.8, 0.58   ,0.58   ,0.58   ,0.58   ,0.58   ,0.58
    1.0, 0.85   ,0.85   ,0.85   ,0.85   ,0.85   ,0.85
