s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0,89656.4730813,43128.9639691,-1.8886353205528494,-0.06342515364891492,18.415839,0.0
0.99922354997250473,89656.1307982,43128.0251986,-1.9522793055175054,-0.063811949112543703,18.415839,0.0
1.9984449811769307,89655.7294433,43127.1101261,-2.0339410661793185,-0.099899184311612294,18.415839,0.0
2.9976612224976149,89655.2390764,43126.2395094,-2.1393707929563899,-0.11161964859221506,18.415839,0.0
3.9968703109959889,89654.6550932,43125.4287182,-2.2537206922432822,-0.11788731282430344,18.415839,0.0
4.9960709979736091,89653.9801264,43124.6919538,-2.3728377054330601,-0.12124401986169218,18.415839,0.0
5.9952673554590987,89653.2213105,43124.0418832,-2.4905561355274592,-0.11506528007251127,18.415839,0.0
6.994450697055413,89652.3931155,43123.4829016,-2.6098505768078848,-0.12443133550130925,18.415839,0.0
7.9936295511368014,89651.5021781,43123.0305865,-2.7310876661368373,-0.11898799590911881,18.415839,0.0
8.9927931893648374,89650.5640147,43122.6868170,-2.8532203991790319,-0.12624537022219862,18.415839,0.0
9.9919555130960962,89649.5901510,43122.4634008,-2.9750352409075997,-0.11834642249023659,18.415839,0.0
10.991125474509921,89648.5967600,43122.3560931,-3.0861987728885767,-0.10474562396464358,18.415839,0.0
11.990312160118018,89647.5975784,43122.3529132,3.1029545246382479,-0.083831411860296384,18.415839,0.0
12.98951683587568,89646.6016063,43122.4332220,3.0316348537832059,-0.059086437517316855,18.415839,0.0
13.988728889956219,89645.6120948,43122.5721172,2.979232734166847,-0.045863330626761158,18.415839,0.0
14.987946048889945,89644.6299766,43122.7561787,2.9391992457853653,-0.034294807016940272,18.415839,0.0
15.987163439206656,89643.6547390,43122.9737725,2.9052131096263891,-0.033747078225004966,18.415839,0.0
16.986380276006752,89642.6873904,43123.2241143,2.8707368390179009,-0.035276622638042418,18.415839,0.0
17.985596333507019,89641.7294633,43123.5083825,2.8345357467466283,-0.037202194557371664,18.415839,0.0
18.984814309077318,89640.7827575,43123.8280458,2.7999467731484131,-0.032047439736380828,18.415839,0.0
19.984035695524625,89639.8467660,43124.1778506,2.7738555516579217,-0.020184218060209813,18.415839,0.0
20.98325669438853,89638.9180192,43124.5464588,2.7526994770160074,-0.022164892786903652,18.415839,0.0
21.982472597101747,89637.9976671,43124.9355403,2.7226054388461076,-0.038084160286062374,18.415839,0.0
22.981687679865761,89637.0927799,43125.3593443,2.6838253830645948,-0.039561229010683575,18.415839,0.0
23.980911225766331,89636.2053349,43125.8185709,2.6632891811323445,-0.00155596096014171,18.415839,0.0
24.98012711560132,89635.3186117,43126.2791731,2.6831341810169009,0.041291738314150478,18.415839,0.0
25.979350681568611,89634.4136436,43126.7028245,2.7159281584234378,0.024364821134997574,18.415839,0.0
26.978570862573275,89633.4986348,43127.1043216,2.6764435554595418,-0.1036224280185447,18.415839,0.0
27.975981423161048,89632.6314377,43127.5970660,2.5140805970822946,-0.22446533954601414,18.415839,0.0
28.972932671975233,89631.8940530,43128.2680171,2.3299968301320786,-0.14777975616700412,18.415839,0.0
29.971009887820902,89631.2619913,43129.0404524,2.2085363130937208,-0.096456841939167814,18.415839,0.0
30.969313365513486,89630.7068347,43129.8701577,2.1168119409377781,-0.087628312181953633,18.415839,0.0
31.967521309600276,89630.2262115,43130.7450408,2.0390529752840769,-0.068374277949274101,18.415839,0.0
32.966461441202632,89629.8060281,43131.6513119,2.0143642816767953,0.01887965099778784,18.415839,0.0
33.965071594967711,89629.3689769,43132.5492030,2.0474139063868781,0.047335017726422728,18.415839,0.0
34.964218936121377,89628.8897375,43133.4259157,1.9988556322470044,-0.14513897640525295,18.415839,0.0
35.959258143341593,89628.5427875,43134.3585081,1.8929858569336755,-0.068349842108675007,18.415839,0.0
36.958453108999223,89628.2589091,43135.3165288,1.9231191574821584,0.12904028842137946,18.415839,0.0
37.953450459622168,89627.8565525,43136.2265447,2.0275956685587242,0.081517203652475945,18.415839,0.0
38.952510310770606,89627.3798029,43137.1045142,2.0672935778764958,-0.0019349312082410427,18.415839,0.0
39.951042930745686,89626.9050016,43137.9829395,2.0331986917515459,-0.066415829357936287,18.415839,0.0
40.950266490934482,89626.4891352,43138.8915114,2.0020304372658657,0.0039701326349351803,18.415839,0.0
41.949306936960184,89626.0697450,43139.7982604,2.0569897385918976,0.10630254592862683,18.415839,0.0
42.948454312615858,89625.5567544,43140.6556612,2.1170069750887581,0.014083416899202394,18.415839,0.0
43.94646296077984,89625.0323557,43141.5047944,2.0380871722550014,-0.17329774147834212,18.415839,0.0
44.940831633160954,89624.6619936,43142.4276167,1.8953054463714714,-0.11526009651708764,18.415839,0.0
45.939964031397061,89624.3983004,43143.3913239,1.8653328608342141,0.054982685338444373,18.415839,0.0
46.938222785378045,89624.0824223,43144.3382882,1.9153013015304667,0.045182162317819081,18.415839,0.0
47.937442437754108,89623.7238212,43145.2709432,1.9406383357852857,0.0055506613333760465,18.415839,0.0
48.936452781778307,89623.3601297,43146.2014001,1.9724839752992651,0.058244727378507284,18.415839,0.0
49.934675303594027,89622.9433305,43147.1084429,2.0807962870001511,0.15964184923928956,18.415839,0.0
50.933507360161478,89622.3881916,43147.9387960,2.2040358228284656,0.088102142687664892,18.415839,0.0
51.932727523074483,89621.7620782,43148.7175277,2.2431732125574446,-0.0096247976286002405,18.415839,0.0
52.931931996955313,89621.1434925,43149.5022322,2.2286937963845284,-0.019358784727218199,18.415839,0.0
53.931079511622187,89620.5402332,43150.2987082,2.2109506475101788,-0.016160176820483266,18.415839,0.0
